-2|-1|03|06|02|09|03|02|-2|04|-2|08|-2|04|02|06|05|05|03|04|01|02|02|03|06|05|03|04|-2|02|10|08|-2|06|05|07|07|02|07|02
02|09|05|04|-2|06|05|02|-1|08|03|-2|02|05|-2|02|02|08|-2|-2|-2|02|05|03|03|04|01|07|02|04|10|06|02|06|03|07|06|04|07|03
10|08|04|04|04|-2|09|-1|02|-2|-2|03|03|05|02|07|05|-2|03|08|06|04|02|06|02|07|-2|01|02|02|07|02|05|05|02|-2|06|06|03|03
02|09|06|05|06|06|03|-2|10|-1|03|07|03|02|-2|02|05|-2|07|04|03|02|04|-2|04|06|03|02|02|05|04|-2|02|07|05|-2|08|01|08|02
03|07|06|06|10|-1|06|08|-2|04|09|02|-2|04|07|03|04|02|06|02|-2|03|02|-2|02|02|05|03|-2|02|05|04|01|07|08|05|-2|02|03|05
-1|08|-2|03|-2|04|06|02|04|02|02|09|-2|02|07|02|-2|04|03|03|06|05|05|03|07|02|02|-2|01|05|10|-2|02|03|05|07|04|08|06|06
04|-2|03|-2|05|02|-1|10|03|02|03|02|02|09|03|-2|-2|-2|05|06|06|08|02|05|04|02|01|06|04|04|06|07|03|-2|05|07|08|02|07|02
08|02|06|-1|05|06|-2|04|07|03|-2|02|07|09|06|-2|02|-2|03|02|-2|02|02|01|02|04|02|03|04|03|07|-2|08|03|10|05|05|06|05|04
04|-2|03|03|-1|09|08|05|06|-2|08|05|01|03|10|02|02|02|02|04|06|06|04|07|05|02|-2|07|-2|-2|02|07|05|06|03|03|-2|02|02|04
10|-1|-2|09|05|-2|06|02|02|03|07|02|05|04|02|05|-2|05|03|06|06|06|07|02|04|03|02|-2|04|04|-2|08|08|01|02|-2|02|07|03|03
